Date,Subscription,ResourceGroup,ServiceName,ResourceName,MeterCategory,Region,Environment,Owner,Cost,UsageQuantity,CostCenter
2026-05-01,Prod-Sub,rg-ai-prod,Azure OpenAI,aoai-prod-01,AI + Machine Learning,westeurope,prod,AI-Team,125.50,34000,CC1001
2026-05-01,Prod-Sub,rg-search-prod,Azure AI Search,search-prod-01,Search,westeurope,prod,AI-Team,88.30,1200,CC1001
2026-05-01,Prod-Sub,rg-app-prod,App Service,app-prod-01,Compute,westeurope,prod,App-Team,52.20,720,CC2001
2026-05-01,Prod-Sub,rg-storage-prod,Storage Account,stprod001,Storage,westeurope,prod,Data-Team,64.00,2100,CC4001
2026-05-01,Dev-Sub,rg-test-dev,Virtual Machines,vm-test-01,Compute,westeurope,dev,,110.00,720,
2026-05-01,Dev-Sub,rg-storage-dev,Storage Account,stdev001,Storage,westeurope,dev,Dev-Team,40.00,900,CC3001
2026-05-02,Prod-Sub,rg-ai-prod,Azure OpenAI,aoai-prod-01,AI + Machine Learning,westeurope,prod,AI-Team,185.70,52000,CC1001
2026-05-02,Prod-Sub,rg-search-prod,Azure AI Search,search-prod-01,Search,westeurope,prod,AI-Team,92.60,1350,CC1001
2026-05-02,Prod-Sub,rg-app-prod,App Service,app-prod-01,Compute,westeurope,prod,App-Team,54.80,720,CC2001
2026-05-02,Prod-Sub,rg-storage-prod,Storage Account,stprod001,Storage,westeurope,prod,Data-Team,66.50,2200,CC4001
2026-05-02,Dev-Sub,rg-test-dev,Virtual Machines,vm-test-01,Compute,westeurope,dev,,115.00,720,
2026-05-02,Dev-Sub,rg-storage-dev,Storage Account,stdev001,Storage,westeurope,dev,Dev-Team,42.00,920,CC3001
2026-05-03,Prod-Sub,rg-ai-prod,Azure OpenAI,aoai-prod-01,AI + Machine Learning,westeurope,prod,AI-Team,310.20,89000,CC1001
2026-05-03,Prod-Sub,rg-search-prod,Azure AI Search,search-prod-01,Search,westeurope,prod,AI-Team,96.40,1400,CC1001
2026-05-03,Prod-Sub,rg-app-prod,App Service,app-prod-01,Compute,westeurope,prod,App-Team,55.10,730,CC2001
2026-05-03,Prod-Sub,rg-databricks-prod,Azure Databricks,adb-prod-01,Analytics,westeurope,prod,Data-Team,240.00,16,CC4001
2026-05-03,Dev-Sub,rg-test-dev,Virtual Machines,vm-test-01,Compute,westeurope,dev,,118.00,720,
2026-05-03,Test-Sub,rg-test-app,App Service,app-test-01,Compute,westeurope,test,,65.00,720,
2026-05-03,Test-Sub,rg-test-search,Azure AI Search,search-test-01,Search,westeurope,test,AI-Team,80.00,600,
